match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,9,Yudhvir Singh,14,7,1,1,200.00,out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,8,Arshad Khan,58,33,3,5,175.75,not_out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,7,Krunal Pandya,18,18,2,0,100.00,out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,6,Ayush Badoni,6,9,0,0,66.66,out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,5,Nicholas Pooran,61,27,6,4,225.92,out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,4,Deepak Hooda,0,2,0,0,0.00,out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,3,Marcus Stoinis,5,7,1,0,71.42,out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,2,KL Rahul (c),5,3,1,0,166.66,out,26
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,1,Quinton de Kock ,12,8,2,0,150.00,out,26
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,6,Axar Patel,14,10,2,0,140.00,not_out,26
