match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,3,Sai Sudharsan,6,14,0,0,42.85,out,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,2,Shubman Gill (c),2,7,0,0,28.57,out,37
Gujarat Titans Vs Royal Challengers Bengaluru,Gujarat Titans,1,Wriddhiman Saha ,1,7,0,0,14.28,out,37
Chennai Super Kings Vs Punjab Kings,Punjab Kings,11,Kagiso Rabada,11,10,0,1,110.00,not_out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,10,Rahul Chahar,16,10,2,1,160.00,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,9,Harshal Patel,12,13,1,1,92.30,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,8,Harpreet Brar,17,13,2,0,130.76,not_out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,7,Ashutosh Sharma,3,10,0,0,30.00,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,6,Jitesh Sharma ,0,1,0,0,0.00,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,5,Sam Curran (c),7,11,0,0,63.63,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,4,Shashank Singh,27,20,4,0,135.00,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,3,Rilee Rossouw,0,3,0,0,0.00,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,2,Jonny Bairstow,7,6,1,0,116.66,out,39
Chennai Super Kings Vs Punjab Kings,Punjab Kings,1,Prabhsimran Singh,30,23,2,2,130.43,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,11,Richard Gleeson,2,2,0,0,100.00,not_out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,10,Tushar Deshpande,0,1,0,0,0.00,not_out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,9,MS Dhoni ,0,1,0,0,0.00,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,8,Shardul Thakur,17,11,2,1,154.54,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,7,Mitchell Santner,11,11,1,0,100.00,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,6,Ravindra Jadeja,43,26,3,2,165.38,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,5,Moeen Ali,17,20,2,0,85.00,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,4,Shivam Dube,0,1,0,0,0.00,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,3,Daryl Mitchell,30,19,2,1,157.89,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,2,Ruturaj Gaikwad (c),32,21,4,1,152.38,out,39
Chennai Super Kings Vs Punjab Kings,Chennai Super Kings,1,Ajinkya Rahane,9,7,1,0,128.57,out,39
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,11,Naveen-ul-Haq,0,0,0,0,-,not_out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,10,Ravi Bishnoi,2,3,0,0,66.66,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,9,Yudhvir Singh,7,7,0,1,100.00,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,8,Krunal Pandya,5,6,0,0,83.33,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,7,Ashton Turner,16,9,0,2,177.77,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,6,Ayush Badoni,15,12,0,1,125.00,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,5,Nicholas Pooran,10,8,0,1,125.00,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,4,Deepak Hooda,5,3,1,0,166.66,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,3,Marcus Stoinis,36,21,4,2,171.42,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,2,Arshin Kulkarni,9,7,2,0,128.57,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Lucknow Super Giants,1,KL Rahul (c),25,21,3,0,119.04,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,8,Venkatesh Iyer,1,1,0,0,100.00,not_out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,7,Ramandeep Singh,25,6,1,3,416.66,not_out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,6,Shreyas Iyer (c),23,15,3,0,153.33,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,5,Rinku Singh,16,11,2,0,145.45,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,4,Andre Russell,12,8,1,1,150.00,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,3,Angkrish Raghuvanshi,32,26,3,1,123.07,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,2,Sunil Narine,81,39,6,7,207.69,out,28
Kolkata Knight Riders Vs Lucknow Super Giants,Kolkata Knight Riders,1,Phil Salt ,32,14,5,1,228.57,out,28
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,5,Tilak Varma,37,32,6,0,115.62,not_out,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,4,Suryakumar Yadav,102,51,12,6,200.00,not_out,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,3,Naman Dhir,0,9,0,0,0.00,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,2,Rohit Sharma,4,5,1,0,80.00,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Mumbai Indians,1,Ishan Kishan ,9,7,2,0,128.57,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,10,Sanvir Singh,8,7,0,0,114.28,not_out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,9,Pat Cummins (c),35,17,2,2,205.88,not_out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,8,Abdul Samad,3,4,0,0,75.00,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,7,Shahbaz Ahmed,10,12,0,0,83.33,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,6,Marco Jansen,17,12,1,1,141.66,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,5,Heinrich Klaasen ,2,4,0,0,50.00,out,8
Sunrisers Hyderabad Vs Mumbai Indians,Sunrisers Hyderabad,4,Nitish Kumar Reddy,20,15,2,0,133.33,out,8
